,date,sec_code,change_pct,net_amount_main,net_pct_main,net_amount_xl,net_pct_xl,net_amount_l,net_pct_l,net_amount_m,net_pct_m,net_amount_s,net_pct_s
145,2018-08-07,600779.XSHG,2.76,84.1996,0.2017,-577.4662,-1.3836,661.6658,1.5853,566.9953,1.3585,-651.1948,-1.5602
146,2018-08-08,600779.XSHG,0.21,-6234.2038,-13.4409,-982.8587,-2.119,-5251.3451,-11.3219,5221.5797,11.2577,1012.6241,2.1832
147,2018-08-09,600779.XSHG,2.87,-3443.3175,-6.1687,6527.815,11.6945,-9971.1325,-17.8632,2738.1826,4.9054,705.1349,1.2632
148,2018-08-10,600779.XSHG,-1.79,-3316.6044,-9.2657,-1488.9469,-4.1597,-1827.6575,-5.106,954.3605,2.6662,2362.2438,6.5995
149,2018-08-14,600779.XSHG,-2.2,-629.7955,-7.1358,1.503,0.017,-631.2985,-7.1529,-426.0985,-4.8279,1055.894,11.9637
150,2018-08-15,600779.XSHG,-1.62,-1137.6613,-13.1904,-122.9838,-1.4259,-1014.6775,-11.7645,809.015,9.38,328.6463,3.8104
151,2018-08-16,600779.XSHG,-7.71,-1564.2307,-16.2776,-300.4028,-3.126,-1263.8279,-13.1516,-506.9485,-5.2754,2071.1792,21.553
152,2018-08-17,600779.XSHG,0.04,-471.9097,-5.6468,-105.3705,-1.2608,-366.5392,-4.3859,-628.6911,-7.5228,1100.6009,13.1696
153,2018-08-20,600779.XSHG,-10.01,-10695.4176,-33.385,-10363.0341,-32.3475,-332.3835,-1.0375,7788.8194,24.3123,2906.5982,9.0727
154,2018-08-21,600779.XSHG,-3.65,-2050.2491,-1.8377,-3437.0651,-3.0807,1386.816,1.243,1063.8464,0.9535,986.4041,0.8841
155,2018-08-22,600779.XSHG,0.73,-1709.3384,-4.9604,333.5414,0.9679,-2042.8798,-5.9283,1148.4918,3.3328,560.8466,1.6275
156,2018-08-23,600779.XSHG,0.12,-76.9503,-0.4571,136.0996,0.8085,-213.0499,-1.2656,-79.0554,-0.4696,156.0057,0.9267
157,2018-08-24,600779.XSHG,-0.65,-1876.7631,-12.731,-330.1253,-2.2394,-1546.6378,-10.4916,1352.8238,9.1769,523.9395,3.5541
158,2018-08-27,600779.XSHG,5.25,1870.5252,4.627,361.3297,0.8938,1509.1955,3.7332,-1572.1017,-3.8888,-298.4234,-0.7382
159,2018-08-28,600779.XSHG,0.49,22.2283,0.1728,102.2673,0.7952,-80.039,-0.6224,481.0797,3.7409,-503.3079,-3.9138
160,2018-08-29,600779.XSHG,-1.36,-668.3482,-5.3312,-373.4238,-2.9787,-294.9244,-2.3525,781.948,6.2373,-113.5999,-0.9061
161,2018-08-30,600779.XSHG,-2.5,-1189.9713,-9.6784,0.0,0.0,-1189.9713,-9.6784,409.2907,3.3289,780.6806,6.3495
162,2018-08-31,600779.XSHG,4.61,790.5112,3.5351,39.8968,0.1784,750.6144,3.3567,-854.7426,-3.8224,64.2314,0.2872
163,2018-09-03,600779.XSHG,-6.42,-106.469,-0.4952,-107.461,-0.4998,0.992,0.0046,-235.2424,-1.0941,341.7114,1.5893
164,2018-09-04,600779.XSHG,-2.23,248.3383,1.2048,-558.4137,-2.709,806.752,3.9138,-545.4156,-2.646,297.0772,1.4412
165,2018-09-05,600779.XSHG,-4.46,-1554.4171,-6.1558,-917.4823,-3.6334,-636.9348,-2.5224,-3576.3305,-14.1629,5130.7475,20.3187
166,2018-09-06,600779.XSHG,-3.31,-901.0277,-4.6164,-79.7378,-0.4085,-821.2899,-4.2079,-1197.1603,-6.1336,2098.1879,10.75
167,2018-09-07,600779.XSHG,2.71,442.6726,2.283,436.9887,2.2537,5.6839,0.0293,-1517.2537,-7.8249,1074.581,5.5419
168,2018-09-10,600779.XSHG,0.0,-270.0409,-2.3167,-180.4484,-1.5481,-89.5925,-0.7686,-133.6718,-1.1468,403.7129,3.4636
169,2018-09-11,600779.XSHG,0.61,-28.4843,-0.376,0.0,0.0,-28.4843,-0.376,-352.1654,-4.6482,380.6497,5.0241
170,2018-09-12,600779.XSHG,-1.44,-293.2669,-3.8404,0.0,0.0,-293.2669,-3.8404,19.0434,0.2494,274.2235,3.591
171,2018-09-13,600779.XSHG,-2.58,-602.3632,-3.8097,30.461,0.1927,-632.8242,-4.0024,-72.5314,-0.4587,674.8946,4.2685
